Date,Total,MA7,MA30,STD7
2024-09-17,1,3.2857142857142856,3.3,2.751622897751179
2024-09-18,2,3.4285714285714284,3.2666666666666666,2.636736799982314
2024-09-19,4,3.0,3.2333333333333334,2.1602468994692923
2024-09-20,5,2.857142857142857,3.3666666666666667,1.9518001458970726
2024-09-21,0,2.857142857142857,3.1666666666666665,1.9518001458970726
2024-09-22,0,2.4285714285714284,3.1333333333333333,2.225394561056753
2024-09-23,0,1.7142857142857142,3.1333333333333333,2.058663459163558
2024-09-24,2,1.8571428571428572,3.1666666666666665,2.0354009783964364
2024-09-25,3,2.0,3.2333333333333334,2.0816659994661393
2024-09-26,2,1.7142857142857142,3.1,1.8898223650461434
2024-09-27,3,1.4285714285714286,3.1,1.397276262011554
2024-09-28,0,1.4285714285714286,3.066666666666667,1.397276262011554
2024-09-29,0,1.4285714285714286,3.033333333333333,1.397276262011554
2024-09-30,11,3.0,3.4,3.7416573867739444
2024-10-01,3,3.142857142857143,3.5,3.7161167647860354
2024-10-02,1,2.857142857142857,3.066666666666667,3.8047589248453706
2024-10-03,6,3.4285714285714284,2.933333333333333,3.952094080237418
2024-10-04,4,3.5714285714285716,2.8,3.952094080237418
2024-10-05,0,3.5714285714285716,2.6666666666666665,3.952094080237418
2024-10-06,0,3.5714285714285716,2.533333333333333,3.952094080237418
2024-10-07,6,2.857142857142857,2.7333333333333334,2.609506430251482
2024-10-08,5,3.142857142857143,2.8666666666666667,2.734262327610593
2024-10-09,6,3.857142857142857,2.966666666666667,2.734262327610593
2024-10-10,10,4.428571428571429,3.2,3.552329886011101
2024-10-11,1,4.0,3.2,3.7859388972001855
2024-10-12,0,4.0,2.966666666666667,3.7859388972001855
2024-10-13,0,4.0,2.7666666666666666,3.7859388972001855
2024-10-14,4,3.7142857142857144,2.9,3.683941988065039
2024-10-15,5,3.7142857142857144,2.966666666666667,3.683941988065039
2024-10-16,2,3.142857142857143,2.8666666666666667,3.5790395093549656
2024-10-17,8,2.857142857142857,3.1,2.968084198523323
2024-10-18,4,3.2857142857142856,3.1666666666666665,2.870208222079935
2024-10-19,0,3.2857142857142856,3.033333333333333,2.870208222079935
2024-10-20,3,3.7142857142857144,2.966666666666667,2.49761791275112
2024-10-21,3,3.5714285714285716,3.066666666666667,2.5071326821120397
